Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role318,59,nondisclosed,Student,Traditional,Informal,Reading,Bachelor,African,Mandarin,Intermediate,Mixed,Active,Environmentalism,Single,Middle income,Average health,Sporadic,Creative
Role319,48,genderqueer,Student,Traditional,Humorous,Reading,Graduate Degree,African,French,Intermediate,Mixed,Active,Environmentalism,Married,High income,Health-conscious,Sporadic,Practical
Role320,21,female,Doctor,Traditional,Mixed,Painting,High School,African,French,Novice,Voice,Active,Islam,Widowed,High income,Healthy,Part-time,Creative
Role321,48,female,Scientist,Innovative,Empathetic,Painting,Graduate Degree,Middle Eastern,French,Expert,Text,Sedentary,Humanism,Divorced,Middle income,Healthy,Sporadic,Analytical
Role322,48,genderqueer,Retired,Innovative,Empathetic,Sports,Bachelor,Western,Mandarin,Novice,Mixed,Sedentary,Atheism,Divorced,Middle income,Healthy,Sporadic,Analytical
Role323,50,female,Engineer,Extroverted,Direct,Cooking,High School,African,Spanish,Expert,Video,Sedentary,Islam,Single,Low income,Healthy,Full-time,Collaborative
Role324,51,genderqueer,Engineer,Innovative,Humorous,Cooking,Bachelor,Western,Mandarin,Expert,Voice,Active,Christianity,Divorced,High income,Health-conscious,Sporadic,Collaborative
Role325,40,male,Teacher,Innovative,Formal,Reading,Graduate Degree,Western,French,Expert,Video,Sedentary,Christianity,Divorced,Low income,Average health,Sporadic,Collaborative
Role326,45,nondisclosed,Doctor,Traditional,Mixed,Reading,Bachelor,African,Spanish,Expert,Voice,Active,Islam,Married,High income,Healthy,Part-time,Collaborative
Role327,39,male,Artist,Introverted,Formal,Reading,Graduate Degree,African,Mandarin,Novice,Text,Sedentary,Humanism,Married,High income,Healthy,Full-time,Practical
Role328,58,nondisclosed,Artist,Innovative,Empathetic,Reading,Graduate Degree,Eastern,English,Novice,Mixed,Sedentary,Christianity,Married,Low income,Health-conscious,Sporadic,Collaborative
Role329,74,male,Student,Innovative,Mixed,Sports,High School,Middle Eastern,Spanish,Intermediate,Mixed,Sedentary,Humanism,Single,Middle income,Healthy,Full-time,Analytical
Role330,23,male,Retired,Innovative,Mixed,Reading,Bachelor,Eastern,Mandarin,Expert,Text,Sedentary,Environmentalism,Widowed,Low income,Average health,Full-time,Analytical
Role331,66,nondisclosed,Doctor,Traditional,Informal,Video Games,Bachelor,Middle Eastern,Spanish,Novice,Video,Active,Humanism,Married,Middle income,Average health,Sporadic,Practical
Role332,44,genderqueer,Student,Extroverted,Mixed,Sports,High School,African,Mandarin,Intermediate,Text,Active,Atheism,Single,Low income,Health-conscious,Full-time,Practical
Role333,70,genderqueer,Doctor,Extroverted,Direct,Traveling,Graduate Degree,Western,Mandarin,Intermediate,Video,Sedentary,Christianity,Married,High income,Average health,Part-time,Creative
Role334,39,female,Engineer,Traditional,Informal,Painting,Bachelor,Western,English,Novice,Voice,Sedentary,Atheism,Married,High income,Healthy,Sporadic,Creative
Role335,74,male,Scientist,Innovative,Mixed,Reading,High School,Eastern,French,Intermediate,Video,Active,Humanism,Single,Low income,Healthy,Part-time,Collaborative
Role336,79,genderqueer,Scientist,Extroverted,Mixed,Reading,Bachelor,African,Spanish,Expert,Video,Sedentary,Environmentalism,In a relationship,Low income,Healthy,Part-time,Collaborative
Role337,18,nondisclosed,Artist,Introverted,Direct,Video Games,High School,Middle Eastern,French,Novice,Video,Sedentary,Islam,Married,High income,Healthy,Full-time,Creative
Role338,30,genderqueer,Retired,Introverted,Formal,Painting,Bachelor,Western,English,Intermediate,Text,Sedentary,Christianity,Widowed,High income,Healthy,Sporadic,Collaborative
Role339,54,nondisclosed,Student,Traditional,Formal,Video Games,High School,African,Spanish,Intermediate,Voice,Sedentary,Atheism,Married,High income,Average health,Sporadic,Practical
Role340,31,female,Engineer,Traditional,Mixed,Sports,Graduate Degree,Middle Eastern,Spanish,Intermediate,Mixed,Active,Humanism,Widowed,Low income,Health-conscious,Sporadic,Creative
Role341,37,male,Retired,Introverted,Empathetic,Video Games,High School,African,Spanish,Intermediate,Voice,Active,Atheism,Married,Low income,Average health,Part-time,Analytical
Role342,25,female,Teacher,Extroverted,Informal,Cooking,High School,Middle Eastern,French,Intermediate,Text,Sedentary,Islam,In a relationship,High income,Health-conscious,Full-time,Analytical
Role343,59,genderqueer,Retired,Innovative,Humorous,Reading,High School,Middle Eastern,French,Intermediate,Video,Sedentary,Environmentalism,Married,Low income,Healthy,Part-time,Practical
Role344,57,male,Student,Innovative,Direct,Video Games,Graduate Degree,Eastern,English,Intermediate,Video,Sedentary,Christianity,Divorced,Low income,Average health,Sporadic,Analytical
Role345,49,nondisclosed,Artist,Innovative,Formal,Traveling,High School,African,English,Intermediate,Text,Active,Islam,Married,High income,Health-conscious,Part-time,Creative
Role346,31,genderqueer,Artist,Extroverted,Humorous,Painting,Graduate Degree,Middle Eastern,Spanish,Novice,Video,Active,Environmentalism,Single,Middle income,Health-conscious,Sporadic,Collaborative
Role347,59,female,Retired,Introverted,Formal,Video Games,Bachelor,Middle Eastern,English,Expert,Voice,Active,Islam,Married,Middle income,Healthy,Part-time,Collaborative
Role348,45,male,Scientist,Innovative,Informal,Reading,High School,Western,English,Intermediate,Mixed,Sedentary,Christianity,Single,Middle income,Healthy,Sporadic,Collaborative
Role349,78,female,Scientist,Extroverted,Direct,Video Games,High School,Western,Mandarin,Expert,Video,Active,Atheism,Married,Middle income,Average health,Full-time,Practical
Role350,42,genderqueer,Retired,Traditional,Humorous,Reading,High School,Western,Spanish,Intermediate,Text,Active,Christianity,Divorced,High income,Health-conscious,Part-time,Analytical
Role351,41,female,Retired,Introverted,Humorous,Cooking,High School,Western,French,Novice,Video,Sedentary,Humanism,Single,Middle income,Healthy,Part-time,Analytical
Role352,70,female,Teacher,Traditional,Mixed,Traveling,High School,Western,English,Expert,Video,Active,Islam,Widowed,Low income,Health-conscious,Full-time,Practical
Role353,80,genderqueer,Student,Extroverted,Mixed,Sports,Graduate Degree,African,English,Intermediate,Video,Active,Environmentalism,Married,High income,Health-conscious,Sporadic,Creative
Role354,26,genderqueer,Scientist,Extroverted,Formal,Cooking,High School,Western,Spanish,Novice,Voice,Sedentary,Environmentalism,Divorced,High income,Healthy,Part-time,Analytical
Role355,66,female,Retired,Introverted,Direct,Cooking,Bachelor,Eastern,French,Intermediate,Video,Sedentary,Environmentalism,In a relationship,Middle income,Healthy,Full-time,Analytical
Role356,52,genderqueer,Engineer,Innovative,Direct,Video Games,Bachelor,African,Mandarin,Intermediate,Video,Sedentary,Islam,Widowed,High income,Health-conscious,Part-time,Practical
Role357,39,nondisclosed,Scientist,Extroverted,Empathetic,Traveling,High School,Eastern,English,Novice,Voice,Active,Christianity,Widowed,High income,Healthy,Sporadic,Practical
Role358,56,female,Retired,Extroverted,Direct,Reading,Bachelor,Eastern,English,Novice,Video,Sedentary,Atheism,In a relationship,High income,Health-conscious,Sporadic,Creative
Role359,29,genderqueer,Scientist,Traditional,Empathetic,Sports,Bachelor,Western,French,Expert,Voice,Sedentary,Christianity,Married,Middle income,Healthy,Sporadic,Analytical
Role360,29,female,Doctor,Traditional,Humorous,Sports,High School,African,French,Intermediate,Text,Sedentary,Environmentalism,Single,Low income,Average health,Part-time,Practical
Role361,47,male,Artist,Traditional,Informal,Reading,Bachelor,Western,English,Expert,Text,Sedentary,Islam,Divorced,High income,Healthy,Sporadic,Collaborative
Role362,53,male,Scientist,Traditional,Humorous,Cooking,Graduate Degree,Middle Eastern,Mandarin,Expert,Voice,Sedentary,Christianity,Widowed,High income,Average health,Sporadic,Practical
Role363,40,female,Retired,Introverted,Humorous,Painting,Bachelor,African,English,Novice,Text,Sedentary,Islam,Divorced,Low income,Health-conscious,Part-time,Collaborative
Role364,80,male,Doctor,Traditional,Humorous,Cooking,Graduate Degree,Western,French,Expert,Text,Sedentary,Atheism,Married,High income,Health-conscious,Sporadic,Practical
Role365,62,male,Doctor,Traditional,Direct,Sports,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Voice,Active,Islam,Single,Low income,Average health,Sporadic,Practical
Role366,40,female,Teacher,Introverted,Humorous,Video Games,Graduate Degree,Eastern,Spanish,Novice,Mixed,Sedentary,Humanism,Divorced,Middle income,Average health,Part-time,Creative
Role367,24,genderqueer,Teacher,Traditional,Direct,Video Games,Bachelor,African,French,Intermediate,Text,Sedentary,Atheism,Single,Low income,Average health,Sporadic,Collaborative
Role368,77,male,Artist,Traditional,Humorous,Traveling,Bachelor,African,French,Expert,Text,Active,Christianity,Single,Middle income,Average health,Part-time,Creative
Role369,40,nondisclosed,Student,Traditional,Mixed,Reading,Bachelor,African,Spanish,Expert,Mixed,Sedentary,Islam,Single,Low income,Health-conscious,Part-time,Practical
Role370,62,female,Doctor,Traditional,Humorous,Traveling,Bachelor,Eastern,Mandarin,Intermediate,Text,Active,Christianity,Widowed,High income,Health-conscious,Full-time,Analytical
Role371,35,nondisclosed,Student,Extroverted,Empathetic,Reading,Graduate Degree,African,Mandarin,Novice,Mixed,Sedentary,Humanism,Married,Middle income,Healthy,Part-time,Creative
Role372,33,male,Retired,Innovative,Direct,Video Games,Graduate Degree,African,Spanish,Intermediate,Mixed,Sedentary,Atheism,Married,High income,Health-conscious,Full-time,Creative
Role373,51,female,Student,Introverted,Direct,Traveling,High School,Western,English,Novice,Mixed,Sedentary,Atheism,Divorced,High income,Health-conscious,Full-time,Creative
Role374,34,genderqueer,Doctor,Extroverted,Formal,Cooking,Graduate Degree,Middle Eastern,French,Novice,Voice,Sedentary,Christianity,Single,Low income,Healthy,Part-time,Collaborative
Role375,48,male,Teacher,Extroverted,Humorous,Sports,Bachelor,Western,Spanish,Intermediate,Text,Active,Christianity,In a relationship,Middle income,Healthy,Full-time,Practical
Role376,69,nondisclosed,Student,Introverted,Direct,Traveling,Graduate Degree,Eastern,English,Novice,Text,Sedentary,Environmentalism,Widowed,Low income,Healthy,Sporadic,Collaborative
Role377,30,genderqueer,Student,Traditional,Humorous,Sports,Graduate Degree,Western,English,Novice,Voice,Sedentary,Environmentalism,Divorced,Middle income,Average health,Part-time,Collaborative
Role378,24,genderqueer,Doctor,Extroverted,Informal,Sports,Graduate Degree,Western,English,Expert,Voice,Sedentary,Atheism,Married,Middle income,Average health,Full-time,Practical
Role379,23,nondisclosed,Student,Introverted,Humorous,Painting,High School,Western,French,Intermediate,Mixed,Sedentary,Atheism,Divorced,Middle income,Healthy,Sporadic,Creative
Role380,35,genderqueer,Retired,Introverted,Formal,Traveling,Bachelor,African,English,Intermediate,Voice,Sedentary,Atheism,In a relationship,Middle income,Health-conscious,Sporadic,Collaborative
Role381,27,nondisclosed,Student,Innovative,Mixed,Cooking,Graduate Degree,Middle Eastern,English,Expert,Video,Sedentary,Environmentalism,In a relationship,Middle income,Average health,Sporadic,Creative
Role382,21,female,Teacher,Introverted,Direct,Painting,High School,African,English,Intermediate,Video,Active,Environmentalism,Divorced,Low income,Health-conscious,Sporadic,Collaborative
Role383,77,female,Retired,Traditional,Direct,Cooking,Graduate Degree,African,English,Novice,Voice,Sedentary,Humanism,In a relationship,Low income,Average health,Full-time,Collaborative
Role384,47,female,Doctor,Innovative,Formal,Sports,High School,Middle Eastern,Mandarin,Expert,Video,Active,Humanism,Married,High income,Average health,Full-time,Analytical
Role385,52,female,Artist,Traditional,Formal,Reading,Bachelor,African,French,Novice,Voice,Active,Atheism,Widowed,High income,Average health,Part-time,Creative
Role386,74,genderqueer,Artist,Innovative,Direct,Reading,Graduate Degree,Eastern,Spanish,Novice,Video,Active,Humanism,Divorced,Low income,Average health,Sporadic,Practical
Role387,37,nondisclosed,Doctor,Traditional,Direct,Cooking,High School,Eastern,English,Novice,Voice,Sedentary,Islam,Married,Middle income,Health-conscious,Part-time,Creative
Role388,80,nondisclosed,Teacher,Traditional,Empathetic,Sports,High School,Middle Eastern,Mandarin,Intermediate,Voice,Sedentary,Islam,Widowed,Middle income,Health-conscious,Part-time,Practical
Role389,47,male,Teacher,Traditional,Direct,Cooking,Graduate Degree,Western,Spanish,Expert,Text,Sedentary,Humanism,Married,Middle income,Average health,Part-time,Collaborative
Role390,32,female,Engineer,Traditional,Direct,Video Games,Graduate Degree,Western,Spanish,Novice,Text,Sedentary,Islam,Single,High income,Healthy,Full-time,Creative
Role391,64,genderqueer,Teacher,Introverted,Mixed,Cooking,Bachelor,Western,Mandarin,Expert,Mixed,Active,Environmentalism,Single,High income,Average health,Sporadic,Practical
Role392,46,nondisclosed,Scientist,Extroverted,Formal,Traveling,Graduate Degree,Middle Eastern,English,Expert,Voice,Sedentary,Islam,In a relationship,Middle income,Healthy,Sporadic,Analytical
Role393,70,female,Teacher,Traditional,Direct,Sports,Bachelor,Western,English,Novice,Video,Sedentary,Christianity,Married,High income,Average health,Sporadic,Practical
Role394,35,genderqueer,Engineer,Innovative,Humorous,Reading,High School,Middle Eastern,Mandarin,Expert,Video,Active,Christianity,Widowed,Low income,Healthy,Full-time,Analytical
Role395,69,genderqueer,Retired,Innovative,Humorous,Painting,Bachelor,African,Mandarin,Expert,Video,Active,Islam,Single,Low income,Health-conscious,Part-time,Collaborative
Role396,43,male,Teacher,Extroverted,Mixed,Reading,High School,African,French,Intermediate,Voice,Sedentary,Christianity,Single,Middle income,Average health,Sporadic,Practical
Role397,43,female,Teacher,Innovative,Informal,Traveling,Graduate Degree,Western,English,Intermediate,Mixed,Sedentary,Humanism,Widowed,Middle income,Average health,Sporadic,Creative
Role398,41,nondisclosed,Teacher,Traditional,Formal,Reading,Graduate Degree,Eastern,Mandarin,Novice,Video,Active,Environmentalism,Divorced,High income,Health-conscious,Part-time,Creative
Role399,45,male,Doctor,Introverted,Informal,Sports,Bachelor,Middle Eastern,French,Expert,Voice,Active,Christianity,Widowed,High income,Healthy,Full-time,Creative
Role400,22,genderqueer,Student,Innovative,Formal,Cooking,Graduate Degree,Eastern,Spanish,Novice,Text,Sedentary,Islam,Married,High income,Health-conscious,Part-time,Practical
Role401,48,genderqueer,Teacher,Innovative,Direct,Painting,Bachelor,Middle Eastern,Mandarin,Expert,Video,Active,Christianity,Single,Low income,Healthy,Part-time,Collaborative
Role402,36,female,Engineer,Innovative,Direct,Cooking,Graduate Degree,Middle Eastern,Spanish,Novice,Mixed,Active,Humanism,Married,High income,Health-conscious,Sporadic,Analytical
Role403,61,nondisclosed,Artist,Traditional,Humorous,Traveling,High School,Western,Spanish,Novice,Voice,Sedentary,Atheism,Married,High income,Average health,Part-time,Practical
Role404,57,male,Artist,Introverted,Formal,Sports,Graduate Degree,African,French,Intermediate,Text,Sedentary,Environmentalism,Single,High income,Health-conscious,Part-time,Practical
Role405,31,female,Student,Introverted,Empathetic,Cooking,Bachelor,Middle Eastern,English,Expert,Video,Sedentary,Christianity,Single,Middle income,Average health,Part-time,Practical
Role406,60,genderqueer,Artist,Extroverted,Direct,Video Games,High School,Middle Eastern,Mandarin,Novice,Video,Sedentary,Humanism,Divorced,Middle income,Average health,Part-time,Creative
Role407,19,genderqueer,Student,Traditional,Humorous,Sports,Graduate Degree,Eastern,French,Intermediate,Video,Active,Christianity,Married,High income,Average health,Sporadic,Collaborative
Role408,71,nondisclosed,Engineer,Traditional,Humorous,Traveling,Bachelor,Middle Eastern,French,Intermediate,Video,Sedentary,Environmentalism,Widowed,Middle income,Average health,Full-time,Collaborative
Role409,53,female,Doctor,Extroverted,Mixed,Reading,Bachelor,Middle Eastern,Mandarin,Novice,Video,Sedentary,Environmentalism,Widowed,Middle income,Health-conscious,Part-time,Analytical
Role410,43,nondisclosed,Artist,Introverted,Empathetic,Traveling,Bachelor,Middle Eastern,French,Novice,Video,Sedentary,Atheism,Single,Middle income,Health-conscious,Sporadic,Collaborative
Role411,48,female,Student,Introverted,Mixed,Traveling,High School,Eastern,English,Novice,Mixed,Active,Humanism,Married,Middle income,Average health,Part-time,Analytical
Role412,49,nondisclosed,Teacher,Extroverted,Direct,Traveling,High School,Middle Eastern,Spanish,Expert,Voice,Sedentary,Christianity,Divorced,High income,Healthy,Full-time,Practical
Role413,20,genderqueer,Doctor,Traditional,Mixed,Reading,High School,Western,Mandarin,Novice,Mixed,Sedentary,Humanism,Married,Middle income,Average health,Part-time,Practical
Role414,59,nondisclosed,Engineer,Innovative,Empathetic,Sports,High School,Middle Eastern,Spanish,Intermediate,Video,Sedentary,Atheism,Widowed,Low income,Healthy,Full-time,Creative
Role415,33,genderqueer,Artist,Introverted,Mixed,Cooking,Graduate Degree,Western,Spanish,Novice,Mixed,Sedentary,Islam,Divorced,Middle income,Average health,Part-time,Collaborative
Role416,67,genderqueer,Retired,Introverted,Informal,Video Games,Graduate Degree,Eastern,French,Intermediate,Text,Active,Atheism,Single,Low income,Average health,Part-time,Practical
Role417,70,genderqueer,Scientist,Traditional,Direct,Reading,Bachelor,Eastern,French,Novice,Mixed,Active,Humanism,Divorced,Middle income,Health-conscious,Part-time,Creative
Role418,23,nondisclosed,Artist,Innovative,Formal,Painting,High School,Middle Eastern,French,Novice,Voice,Sedentary,Environmentalism,Single,High income,Healthy,Part-time,Creative
Role419,31,genderqueer,Retired,Innovative,Humorous,Cooking,High School,Middle Eastern,English,Novice,Video,Active,Environmentalism,Married,Middle income,Average health,Full-time,Analytical
Role420,49,male,Student,Innovative,Mixed,Sports,Graduate Degree,African,Mandarin,Intermediate,Mixed,Sedentary,Humanism,Widowed,Low income,Healthy,Full-time,Analytical
Role421,72,female,Doctor,Extroverted,Empathetic,Video Games,Bachelor,Western,French,Novice,Voice,Sedentary,Christianity,In a relationship,Low income,Health-conscious,Part-time,Creative
Role422,61,female,Artist,Traditional,Humorous,Video Games,Bachelor,Middle Eastern,Spanish,Novice,Text,Active,Humanism,Single,Low income,Health-conscious,Part-time,Practical
Role423,67,male,Artist,Traditional,Mixed,Reading,Bachelor,Western,Spanish,Novice,Text,Active,Christianity,Single,Middle income,Healthy,Part-time,Collaborative
Role424,58,female,Teacher,Traditional,Formal,Painting,High School,African,English,Expert,Video,Sedentary,Humanism,Widowed,High income,Average health,Part-time,Analytical
Role425,52,male,Scientist,Introverted,Informal,Reading,High School,Middle Eastern,Spanish,Expert,Text,Sedentary,Christianity,In a relationship,High income,Average health,Part-time,Analytical
Role426,30,nondisclosed,Artist,Traditional,Informal,Sports,Bachelor,Eastern,English,Intermediate,Voice,Sedentary,Atheism,Married,High income,Health-conscious,Part-time,Practical
Role427,67,male,Teacher,Traditional,Formal,Reading,Graduate Degree,Middle Eastern,Spanish,Novice,Mixed,Active,Christianity,In a relationship,High income,Average health,Part-time,Practical
Role428,18,nondisclosed,Retired,Extroverted,Mixed,Reading,Bachelor,Western,French,Intermediate,Mixed,Sedentary,Atheism,In a relationship,Low income,Average health,Full-time,Practical
Role429,45,female,Doctor,Innovative,Formal,Sports,Graduate Degree,African,Spanish,Intermediate,Mixed,Sedentary,Humanism,Divorced,High income,Healthy,Full-time,Collaborative
Role430,60,male,Doctor,Traditional,Empathetic,Painting,Graduate Degree,African,Mandarin,Expert,Text,Active,Environmentalism,Single,Middle income,Average health,Part-time,Practical
Role431,21,male,Doctor,Innovative,Direct,Reading,Graduate Degree,Middle Eastern,Mandarin,Intermediate,Video,Active,Humanism,Divorced,Low income,Healthy,Full-time,Creative
Role432,80,genderqueer,Student,Traditional,Humorous,Traveling,Bachelor,Middle Eastern,Mandarin,Expert,Video,Active,Environmentalism,Divorced,High income,Average health,Part-time,Analytical
Role433,77,nondisclosed,Engineer,Introverted,Humorous,Video Games,Bachelor,African,Spanish,Expert,Voice,Sedentary,Humanism,In a relationship,High income,Average health,Part-time,Collaborative
Role434,65,male,Doctor,Traditional,Mixed,Painting,High School,African,English,Intermediate,Mixed,Sedentary,Islam,Single,Middle income,Average health,Sporadic,Analytical
Role435,77,nondisclosed,Retired,Extroverted,Humorous,Painting,High School,Eastern,English,Novice,Voice,Sedentary,Atheism,Widowed,High income,Healthy,Part-time,Analytical
Role436,72,female,Doctor,Introverted,Informal,Cooking,High School,Eastern,Spanish,Intermediate,Mixed,Active,Islam,Married,Middle income,Healthy,Part-time,Creative
Role437,58,female,Student,Introverted,Empathetic,Painting,Bachelor,African,Spanish,Intermediate,Video,Active,Humanism,Divorced,Low income,Healthy,Sporadic,Creative
Role438,75,nondisclosed,Student,Traditional,Formal,Video Games,Bachelor,Western,Mandarin,Intermediate,Mixed,Active,Environmentalism,Divorced,High income,Average health,Part-time,Analytical
Role439,71,male,Artist,Extroverted,Humorous,Reading,Graduate Degree,African,French,Intermediate,Voice,Active,Atheism,In a relationship,High income,Average health,Part-time,Practical
Role440,34,male,Engineer,Innovative,Humorous,Reading,High School,African,Spanish,Intermediate,Text,Active,Atheism,In a relationship,Low income,Health-conscious,Sporadic,Collaborative
Role441,55,female,Engineer,Traditional,Humorous,Video Games,Graduate Degree,African,Spanish,Expert,Voice,Active,Islam,Widowed,High income,Average health,Part-time,Creative
Role442,63,genderqueer,Student,Extroverted,Empathetic,Traveling,High School,Western,Spanish,Expert,Voice,Active,Atheism,Single,Middle income,Health-conscious,Full-time,Collaborative
Role443,41,male,Student,Introverted,Humorous,Reading,Graduate Degree,Middle Eastern,French,Expert,Text,Sedentary,Humanism,Widowed,Middle income,Healthy,Full-time,Practical
Role444,18,female,Teacher,Extroverted,Empathetic,Sports,Bachelor,Eastern,Mandarin,Intermediate,Text,Active,Islam,In a relationship,High income,Healthy,Part-time,Practical
Role445,30,male,Doctor,Innovative,Empathetic,Cooking,High School,African,English,Expert,Voice,Active,Humanism,Divorced,Low income,Healthy,Sporadic,Creative
Role446,51,genderqueer,Teacher,Innovative,Humorous,Sports,Graduate Degree,Western,French,Intermediate,Voice,Sedentary,Humanism,Divorced,Low income,Healthy,Full-time,Analytical
Role447,47,female,Student,Introverted,Mixed,Cooking,High School,Middle Eastern,Spanish,Novice,Video,Active,Christianity,Married,Middle income,Average health,Full-time,Creative
Role448,70,female,Artist,Introverted,Formal,Video Games,High School,Eastern,French,Expert,Voice,Active,Environmentalism,Single,High income,Healthy,Part-time,Analytical
Role449,40,genderqueer,Teacher,Traditional,Informal,Traveling,Bachelor,Eastern,Mandarin,Intermediate,Mixed,Active,Environmentalism,Single,Low income,Average health,Part-time,Creative
Role450,61,nondisclosed,Scientist,Traditional,Humorous,Traveling,Bachelor,Middle Eastern,Spanish,Intermediate,Voice,Sedentary,Atheism,Single,High income,Health-conscious,Sporadic,Collaborative
Role451,73,female,Scientist,Traditional,Empathetic,Traveling,Bachelor,Eastern,English,Novice,Voice,Sedentary,Humanism,Single,High income,Health-conscious,Sporadic,Creative
Role452,43,nondisclosed,Artist,Innovative,Informal,Sports,Graduate Degree,Western,Mandarin,Expert,Text,Sedentary,Environmentalism,Single,Middle income,Average health,Part-time,Practical
Role453,32,genderqueer,Artist,Extroverted,Mixed,Sports,Bachelor,Western,French,Novice,Mixed,Sedentary,Atheism,In a relationship,High income,Average health,Full-time,Creative
Role454,27,nondisclosed,Scientist,Extroverted,Empathetic,Sports,High School,African,Mandarin,Expert,Video,Active,Christianity,In a relationship,Low income,Healthy,Full-time,Practical
Role455,43,female,Engineer,Traditional,Direct,Painting,High School,Eastern,English,Intermediate,Video,Active,Christianity,Widowed,Middle income,Health-conscious,Sporadic,Analytical
Role456,31,genderqueer,Engineer,Introverted,Formal,Video Games,High School,Eastern,Spanish,Novice,Text,Sedentary,Environmentalism,Married,Low income,Average health,Full-time,Collaborative
Role457,61,nondisclosed,Artist,Extroverted,Informal,Sports,Graduate Degree,Middle Eastern,English,Novice,Video,Sedentary,Humanism,Single,Middle income,Average health,Part-time,Practical
Role458,24,genderqueer,Artist,Extroverted,Informal,Traveling,Bachelor,Middle Eastern,Mandarin,Intermediate,Text,Active,Atheism,In a relationship,Low income,Average health,Full-time,Collaborative
Role459,20,female,Doctor,Introverted,Mixed,Cooking,High School,Eastern,French,Intermediate,Mixed,Sedentary,Atheism,Widowed,Middle income,Health-conscious,Sporadic,Practical
Role460,53,male,Engineer,Traditional,Direct,Reading,High School,Western,French,Expert,Text,Sedentary,Atheism,Divorced,Low income,Health-conscious,Part-time,Analytical
Role461,46,female,Scientist,Traditional,Formal,Sports,Bachelor,Eastern,Mandarin,Expert,Text,Active,Humanism,In a relationship,Low income,Healthy,Sporadic,Creative
Role462,54,genderqueer,Doctor,Innovative,Mixed,Cooking,High School,African,Spanish,Expert,Voice,Sedentary,Humanism,Widowed,High income,Healthy,Sporadic,Practical
Role463,33,female,Teacher,Introverted,Informal,Traveling,Graduate Degree,Eastern,Mandarin,Novice,Mixed,Sedentary,Humanism,Single,High income,Average health,Full-time,Analytical
Role464,76,male,Retired,Extroverted,Mixed,Painting,High School,Eastern,French,Intermediate,Voice,Sedentary,Atheism,Single,High income,Average health,Part-time,Analytical
Role465,53,male,Artist,Innovative,Informal,Traveling,High School,Western,English,Novice,Video,Sedentary,Environmentalism,In a relationship,Middle income,Health-conscious,Full-time,Collaborative
Role466,67,female,Artist,Introverted,Empathetic,Traveling,Bachelor,Western,Spanish,Intermediate,Text,Sedentary,Environmentalism,Married,High income,Health-conscious,Sporadic,Analytical
Role467,21,female,Teacher,Extroverted,Direct,Video Games,Bachelor,Western,Mandarin,Intermediate,Text,Active,Environmentalism,Divorced,High income,Healthy,Full-time,Practical
Role468,48,male,Doctor,Traditional,Mixed,Sports,High School,Western,English,Intermediate,Voice,Sedentary,Christianity,Widowed,Low income,Health-conscious,Part-time,Creative
Role469,23,genderqueer,Teacher,Traditional,Mixed,Traveling,Bachelor,Eastern,English,Novice,Video,Sedentary,Christianity,In a relationship,Low income,Health-conscious,Part-time,Creative
Role470,64,genderqueer,Engineer,Introverted,Mixed,Cooking,Bachelor,Western,French,Intermediate,Text,Active,Humanism,In a relationship,Middle income,Health-conscious,Full-time,Creative
Role471,74,genderqueer,Artist,Innovative,Direct,Video Games,Bachelor,African,Spanish,Expert,Video,Sedentary,Environmentalism,Widowed,Low income,Average health,Part-time,Collaborative
Role472,52,male,Student,Innovative,Humorous,Painting,Graduate Degree,Eastern,English,Expert,Voice,Sedentary,Christianity,Widowed,High income,Healthy,Sporadic,Collaborative
Role473,50,female,Doctor,Extroverted,Direct,Painting,Graduate Degree,Western,Spanish,Intermediate,Voice,Active,Islam,Divorced,Low income,Average health,Part-time,Creative
Role474,36,genderqueer,Doctor,Traditional,Humorous,Traveling,Graduate Degree,Western,English,Expert,Text,Active,Environmentalism,Divorced,Low income,Healthy,Sporadic,Practical
Role475,52,nondisclosed,Doctor,Introverted,Informal,Painting,Bachelor,African,Mandarin,Expert,Voice,Sedentary,Humanism,Divorced,Middle income,Average health,Full-time,Creative
Role476,22,male,Teacher,Extroverted,Humorous,Traveling,Graduate Degree,Eastern,English,Novice,Voice,Sedentary,Christianity,Divorced,High income,Average health,Part-time,Analytical
Role477,25,male,Teacher,Innovative,Informal,Painting,Graduate Degree,Western,English,Expert,Mixed,Sedentary,Atheism,In a relationship,Middle income,Average health,Sporadic,Collaborative
Role478,18,nondisclosed,Teacher,Innovative,Mixed,Video Games,Graduate Degree,Middle Eastern,French,Intermediate,Text,Active,Humanism,Married,Middle income,Healthy,Full-time,Practical
Role479,74,genderqueer,Student,Introverted,Mixed,Sports,High School,African,Spanish,Intermediate,Mixed,Active,Humanism,Widowed,High income,Healthy,Part-time,Analytical
Role480,60,female,Doctor,Extroverted,Direct,Sports,High School,African,English,Novice,Mixed,Active,Islam,In a relationship,High income,Healthy,Sporadic,Analytical
Role481,58,female,Teacher,Innovative,Empathetic,Sports,Graduate Degree,Middle Eastern,French,Novice,Text,Active,Atheism,Married,High income,Healthy,Full-time,Collaborative
